,text,Label,Transcript,Canonical,Error
0,WOULD SUCH AN ACT OF REFUSAL BE USEFUL ,TRAIN/DR4/MMDM0/SI681.wav,W UH D S AH CH AE N AE K T AH V R AH F Y UW Z AH L B IY Y UW S F AH L,W UH D S AH CH AE N AE K T AH V R AH F Y UW Z AH L B IY Y UW S F AH L,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,DON'T ASK ME TO CARRY AN OILY RAG LIKE THAT ,TRAIN/DR4/MMDM0/SA2.wav,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,D OW N T AE S K M IY T UW K AE R IY AE N OY L IY R AE G L AY K DH AE T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2,BUTTERSCOTCH FUDGE GOES WELL WITH VANILLA ICE CREAM ,TRAIN/DR4/MMDM0/SX411.wav,B AH T ER S K AA CH F AH JH G OW Z W EH L W IH DH V AH N IH L AH AY S K R IY M,B AH T ER S K AA CH F AH JH G OW Z W EH L W IH DH V AH N IH L AH AY S K R IY M,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,SHE HAD YOUR DARK SUIT IN GREASY WASH WATER ALL YEAR ,TRAIN/DR4/MMDM0/SA1.wav,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,SH IY HH AE D Y AO R D AA R K S UW T IH N G R IY S IY W AA SH W AO T ER AO L Y IH R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,I HONOR MY MOM ,TRAIN/DR4/MMDM0/SX231.wav,AY AA N ER M AY M AA M,AY AA N ER M AY M AA M,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
5,AMBIDEXTROUS PICKPOCKETS ACCOMPLISH MORE ,TRAIN/DR4/MMDM0/SX51.wav,AE M B IH D EH K S T R AH S P IH K P AA K AH T S AH K AA M P L IH SH M AO R,AE M B IH D EH K S T R AH S P IH K P AA K AH T S AH K AA M P L IH SH M AO R,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
6,PLEDGE TO PARTICIPATE IN NEVADA'S AQUATIC COMPETITION ,TRAIN/DR4/MMDM0/SX141.wav,P L EH JH T UW P AA R T IH S AH P EY T IH N N AH V AE D AH Z AH K W AA T IH K K AA M P AH T IH SH AH N,P L EH JH T UW P AA R T IH S AH P EY T IH N N AH V AE D AH Z AH K W AA T IH K K AA M P AH T IH SH AH N,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7,WE'LL TALK OVER AT YOUR OFFICE ,TRAIN/DR4/MMDM0/SI1941.wav,W IY L T AO K OW V ER AE T Y AO R AO F AH S,W IY L T AO K OW V ER AE T Y AO R AO F AH S,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
8,SOIL REDEPOSITION IS EVALUATED BY WASHING CLEAN SWATCHES WITH THE DIRTY ONES ,TRAIN/DR4/MMDM0/SI1311.wav,S OY L R IY D EH P AH Z IH SH AH N IH Z IH V AE L Y UW EY T AH D B AY W AA SH IH NG K L IY N S W AA CH AH Z W IH DH DH AH D ER T IY W AH N Z,S OY L R IY D EH P AH Z IH SH AH N IH Z IH V AE L Y UW EY T AH D B AY W AA SH IH NG K L IY N S W AA CH AH Z W IH DH DH AH D ER T IY W AH N Z,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,THE GROUNDHOG CLEARLY SAW HIS SHADOW  BUT STAYED OUT ONLY A MOMENT ,TRAIN/DR4/MMDM0/SX321.wav,DH AH G R AW N D HH AA G K L IH R L IY S AO HH IH Z SH AE D OW B AH T S T EY D AW T OW N L IY AH M OW M AH N T,DH AH G R AW N D HH AA G K L IH R L IY S AO HH IH Z SH AE D OW B AH T S T EY D AW T OW N L IY AH M OW M AH N T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
10,AMOEBAS CHANGE SHAPE CONSTANTLY ,TRAIN/DR4/MCSS0/SX300.wav,AH M IY B AH Z CH EY N JH SH EY P K AA N S T AH N T L IY,AH M IY B AH Z CH EY N JH SH EY P K AA N S T AH N T L IY,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
11,JEFF'S TOY GO CART NEVER WORKED ,TRAIN/DR4/MCSS0/SX210.wav,JH EH F S T OY G OW K AA R T N EH V ER W ER K T,JH EH F S T OY G OW K AA R T N EH V ER W ER K T,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
